Date,Business Group,Business,Value Center,    Processed History
22-Aug,00024782,00026748,00007947,219222
22-Sep,00009771,00009807,00012831,217435
22-Sep,00009771,00009807,00017529,2948
22-Sep,00009771,00009807,00017530,15785
22-Sep,00013066,00025618,00026812,239128
22-Sep,00013066,00025618,00026813,3200
22-Sep,00021696,00007918,00007119,42710
22-Sep,00021696,00013071,00007960,43139
22-Sep,00021696,00013071,00013349,280000
22-Sep,00024782,00026748,00007947,274099
22-Sep,00024782,00026748,00017064,16800
22-Oct,00009771,00009807,00012831,194344
22-Oct,00009771,00009807,00017529,2948
22-Oct,00009771,00009807,00017530,15785
22-Oct,00013066,00025618,00026812,246602
22-Oct,00013066,00025618,00026813,4000
22-Oct,00021696,00007918,00007119,127032
22-Oct,00021696,00013071,00007960,41960
22-Oct,00021696,00013071,00013349,328000
22-Oct,00024782,00026748,00007947,585237
22-Oct,00024782,00026748,00017064,6720
22-Nov,00009771,00009807,00012831,235076
22-Nov,00009771,00009807,00017529,2948
22-Nov,00009771,00009807,00017530,15966
22-Nov,00013066,00025618,00026812,275386
22-Nov,00013066,00025618,00026813,818
22-Nov,00021696,00007918,00007119,66080
22-Nov,00021696,00013071,00007960,43139
22-Nov,00021696,00013071,00013349,193000
22-Nov,00024782,00026748,00007947,3183638
22-Nov,00024782,00026749,00013147,19795
22-Dec,00009771,00009807,00012831,213941
22-Dec,00009771,00009807,00017529,11793
22-Dec,00009771,00009807,00017530,15785
22-Dec,00013066,00025618,00026812,176864
22-Dec,00013066,00025618,00026813,4953
22-Dec,00021696,00007918,00007119,99760
22-Dec,00021696,00013071,00007960,38283
22-Dec,00021696,00013071,00013349,143000
22-Dec,00024782,00026748,00007947,4948477
23-Jan,00009771,00009807,00012831,288612
23-Jan,00009771,00009807,00017529,5897
23-Jan,00009771,00009807,00017530,17100
23-Jan,00009771,00009807,00017534,5262
23-Jan,00013066,00025618,00026812,203352
23-Jan,00013066,00025618,00026813,5948
23-Jan,00021696,00007918,00007119,187780
23-Jan,00021696,00013071,00013349,291000
23-Jan,00024782,00026748,00007947,4932118
23-Jan,00024782,00026749,00013147,77746
23-Feb,00009771,00009807,00012831,230818
23-Feb,00009771,00009807,00017529,8845
23-Feb,00009771,00009807,00017530,24358
23-Feb,00013066,00025618,00026812,196391
23-Feb,00013066,00025618,00026813,2400
23-Feb,00021696,00007918,00007119,151040
23-Feb,00021696,00013071,00007960,43139
23-Feb,00021696,00013071,00013349,277000
23-Feb,00024782,00026748,00007947,3988362
23-Mar,00009771,00009807,00012831,288417
23-Mar,00009771,00009807,00017529,5897
23-Mar,00009771,00009807,00017530,19187
23-Mar,00013066,00025618,00026812,281012
23-Mar,00013066,00025618,00026813,2011
23-Mar,00021696,00007918,00007119,193420
23-Mar,00021696,00013071,00007960,37739
23-Mar,00021696,00013071,00013349,244000
23-Mar,00021696,00027295,00026846,25
23-Mar,00024782,00026748,00007947,3326698
23-Apr,00009771,00009807,00012831,254509
23-Apr,00009771,00009807,00017529,1542
23-Apr,00009771,00009807,00017530,15785
23-Apr,00013066,00025618,00026812,202190
23-Apr,00013066,00025618,00026813,5011
23-Apr,00021696,00007918,00007119,172420
23-Apr,00021696,00013071,00007960,5944
23-Apr,00021696,00013071,00013349,283000
23-Apr,00024782,00026748,00007947,628121
23-May,00009771,00009807,00012831,312981
23-May,00009771,00009807,00017529,5897
23-May,00009771,00009807,00017530,15966
23-May,00009771,00009807,00017534,3946
23-May,00013066,00025618,00026812,232008
23-May,00013066,00025618,00026813,2558
23-May,00021696,00007918,00007119,162720
23-May,00021696,00013071,00007960,24269
23-May,00021696,00013071,00013349,392614
23-May,00024782,00026748,00007947,68582
23-May,00024782,00026749,00013147,18135
23-Jun,00009771,00009807,00012831,210109
23-Jun,00009771,00009807,00017529,8845
23-Jun,00009771,00009807,00017530,31933
23-Jun,00009771,00016982,00017334,17554
23-Jun,00013066,00025618,00026812,226822
23-Jun,00013066,00025618,00026813,4826
23-Jun,00021696,00007918,00007119,123891
23-Jun,00021696,00013071,00007960,37739
23-Jun,00021696,00013071,00013349,274000
23-Jun,00024782,00026748,00007947,39816
23-Jun,00024782,00026749,00013147,84051
23-Jul,00009771,00009807,00012831,233840
23-Jul,00009771,00009807,00017530,15785
23-Jul,00009771,00009807,00017534,1315
23-Jul,00009771,00016982,00017334,26671
23-Jul,00013066,00025618,00026812,205853
23-Jul,00013066,00025618,00026813,5600
23-Jul,00021696,00007918,00007119,104920
23-Jul,00021696,00013071,00007960,43139
23-Jul,00021696,00013071,00013349,271000
23-Jul,00024782,00026748,00007947,22058
23-Jul,00024782,00026748,00017064,6720
23-Aug,00009771,00009807,00012831,304995
23-Aug,00009771,00009807,00017530,15966
23-Aug,00009771,00016982,00017334,51458
23-Aug,00013066,00025618,00026812,250712
23-Aug,00013066,00025618,00026813,6600
23-Aug,00021696,00007918,00007119,110480
23-Aug,00021696,00013071,00007960,43139
23-Aug,00021696,00013071,00013349,341082
23-Aug,00024782,00026748,00007947,115026
23-Aug,00024782,00026749,00013147,78109
23-Sep,00009771,00009807,00012831,186952
23-Sep,00009771,00009807,00017530,15966
23-Sep,00009771,00016982,00017334,34292
23-Sep,00013066,00025618,00026812,257671
23-Sep,00013066,00025618,00026813,5200
23-Sep,00021696,00007918,00007119,62330
23-Sep,00021696,00013071,00007960,18869
23-Sep,00021696,00013071,00013349,323162
23-Sep,00024782,00026748,00007947,327834
23-Oct,00009771,00009807,00012831,211168
23-Oct,00009771,00009807,00017530,20321
23-Oct,00013066,00025618,00026812,234758
23-Oct,00013066,00025618,00026813,41
23-Oct,00021696,00007918,00007119,83520
23-Oct,00021696,00013071,00007960,42549
23-Oct,00021696,00013071,00013349,297000
23-Oct,00024782,00026748,00007947,1739627
23-Oct,00024782,00026749,00013147,101142
23-Nov,00009771,00009807,00012831,197764
23-Nov,00009771,00009807,00017529,-1406
23-Nov,00009771,00009807,00017530,25492
23-Nov,00013066,00025618,00026812,287898
23-Nov,00021696,00007918,00007119,102720
23-Nov,00021696,00013071,00007960,42800
23-Nov,00021696,00013071,00013349,236841
